Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
11082875860,"Apr 1, 2024, 10:14:38 AM",Afternoon Mountain Bike Ride 🌥,Ride,"Wind 6ms SW　

👍 5.9 new kilometers
🏘 Completed 25% of Niittykumpu
-- From Wandrer.earth",6748,24.99,150.0,20.0,False,,Canyon Lux Trail CF7,activities/11847021455.fit.gz,,13.9,6748.0,4946.0,24996.0,11.446,5.054,167.0,171.0,-0.2,29.0,20.9,0.0,,,,,,120.0,,150.0,784.0,,15.0,20.0,,,,,,,,,,,0.0,,0.0,,1.0,,1711965568.0,3.0,10.0,9.4,7.3,0.83,996.1,2.5,4.7,225.0,0.0,1711943040.0,1711991168.0,0.625,13979802.0,,0.0,1.0,0.69,8977.0,2.0,,0.0,15.4,3.6,0.0,3.704,13496.6,,,,,,,,,,,,,,,,,,,
11080974836,"Apr 1, 2024, 6:56:49 AM",Morning Weight Training,Weight Training,,3067,0,120.0,5.0,False,,,activities/11845009187.fit.gz,,,3067.0,3067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,85.0,,,220.0,,,5.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
17937243476,"Apr 1, 2026, 03:14:23 PM",Afternoon Walk,Walk,,1478,2.14,127.0,3.0,,,,,,,1478.0,1450.0,2139.4,2.5,1.475,23.0,2.8,2.8,15.8,,,,,,54.3,127.0,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6911586,"Apr 10, 2011, 1:04:21 PM","04/10/2011 Espoo, Finland, Uusimaa, Finland",Run,,4623,12.86,164.0,195.0,,,,activities/8116837.tcx.gz,82.0,,4623.0,4496.0,12867.8,6.079,,191.5,191.4,10.1,46.9,45.8,0.0,,,,,164.0,154.0,,,1466.0,,,195.0,,,,,,,,,,,,,0.0,,,14548.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6911575,"Apr 10, 2011, 5:57:46 AM","04/10/2011 Espoo, Finland, Uusimaa, Finland",Ride,,1630,10.11,158.0,18.0,False,,Canyon Ultimate CF 8.0,activities/8116838.tcx.gz,82.0,8.0,1630.0,1610.0,10112.1,12.48,,109.4,112.2,6.0,34.4,32.9,0.0,,,,,158.0,142.0,,209.0,376.0,,,18.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,142498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48163768,"Apr 10, 2013, 1:19:16 PM","Nuuksio, Espoo",Ride,,11244,50.20,158.0,87.0,False,,Cannondale Flash Carbon 29'er 3,activities/53289843.fit.gz,81.0,11.5,11244.0,10296.0,50200.8,15.206,,705.2,703.0,2.2,102.4,205.1,0.0,,,,,158.0,129.0,,158.0,1811.0,,4.0,87.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,142500.0,16729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540833208,"Apr 10, 2016, 7:36:45 AM",Morning Walk,Walk,,4013,5.59,145.0,11.0,False,,Saucony Type A6 (2015),activities/593753069.fit.gz,81.0,,4013.0,4013.0,5597.4,3.3,,167.0,171.8,58.0,96.4,42.9,-0.1,,,120.0,55.0,145.0,107.0,,,557.0,,20.0,11.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,994793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/21289923-1CF2-486E-9A5D-DA9BDD5F2897.jpg|media/FC5BC6E7-990F-47B3-B4CA-6087BEA06AE1.jpg
1501445332,"Apr 10, 2018, 11:41:03 PM",Evening Run,Run,,1957,4.01,136.0,14.0,False,,Saucony Type A6 (2018),activities/1617026402.fit.gz,82.5,,1957.0,1737.0,4009.1,3.1,,16.0,,4.8,12.8,28.6,0.0,,,121.0,79.0,136.0,122.0,,,412.0,,19.0,14.0,,,,,,,,,,,,,0.0,,,4063.6,,,,,,,,,,,,,,,,3006002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499940622,"Apr 10, 2018, 7:28:38 AM",Morning Run,Run,,3715,10.65,148.0,59.0,False,,Salomon S-Lab Sense 6 (2017) Sense 6 (2017),activities/1615488390.fit.gz,82.5,,3715.0,3581.0,10658.5,4.2,,87.0,,16.2,49.6,18.0,-0.1,,,89.0,81.0,148.0,139.0,,,1102.0,,13.0,59.0,,,,,,,,,,,,,0.0,,,10874.4,,,,,,,,,,,,,,,,2498816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2279100141,"Apr 10, 2019, 10:05:44 AM",Afternoon Activity,Weight Training,,2816,0,133.0,7.0,False,,,activities/2426023492.fit.gz,,,2816.0,2816.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,133.0,97.0,,,294.0,,24.0,7.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10577378690,"Apr 10, 2021, 5:13:52 PM",Evening Walk ☁,Walk,"Wind 8ms SE


Propelled by Windfield.app ↗",3365,5.93,139.0,7.0,False,,HOKA Carbon X (2020),activities/11316725912.fit.gz,,,3365.0,3365.0,5932.4,4.397,1.763,59.0,69.0,-50.8,-13.0,18.8,-0.2,,,82.0,67.0,,97.0,,,407.0,,,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,5441383.0,,,,,,,,,,0.0,1.763,1947.9,,,,7182.0,,,,,,,,,,,,,,,
5100052608,"Apr 10, 2021, 7:32:45 AM",Morning Walk 🌧,Walk,"Possible Light Rain, 2°C, Feels like -3°C, Humidity 91%, Wind 8m/s from SW",3585,5.77,139.0,9.0,False,,HOKA Carbon X (2020),activities/5436917249.fit.gz,,,3585.0,3585.0,5776.0,2.9,1.611,75.0,81.0,21.4,64.6,28.8,-0.1,,,107.0,57.0,,99.0,,,399.0,,18.0,9.0,,,,,,,,,,,,,0.0,,1.0,,1618038016.0,5.0,2.4,-3.2,1.4,0.93,1002.5,8.1,11.3,217.0,0.2,1618024704.0,1618075648.0,0.96,,5441383.0,0.27,5.0,0.83,16093.0,1.0,445.8,,,,,,,,,,,,,,,,,,,,,,,,,
5100682833,"Apr 10, 2021, 9:00:33 AM",TOW Stage 3: Longer Ride,Virtual Ride,,4895,43.09,123.0,16.0,False,,Tacx Neo Bike,activities/5437574238.fit.gz,,8.0,4895.0,4895.0,43094.2,18.2,8.804,334.0,0.0,-6.4,131.8,11.5,0.0,,,98.0,85.0,,113.0,,161.0,773.0,,,16.0,,,,,,,,,162.0,4896.0,,,0.0,,1.0,,,,,,,,,,,,,,,,7750451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/16973bd8-75ba-4492-81b8-724fd71aef40.jpg
8867242951,"Apr 10, 2023, 4:08:44 PM",Lunch Weight Training,Weight Training,,3790,0,133.0,7.0,False,,,activities/9514546914.fit.gz,,,3790.0,3790.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,91.0,,,356.0,,,7.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
8868289587,"Apr 10, 2023, 8:34:29 PM",Zwift - Group Ride: Tour of Watopia 2023 | Stage 2 | Short Route on Watopia's Waistband in Watopia,Virtual Ride,Level 🆙,3020,28.11,139.0,13.0,False,,Tacx Neo Bike,activities/9515644056.fit.gz,,,3020.0,3020.0,28109.6,16.612,9.308,102.0,0.0,-6.4,28.0,6.3,0.0,,,97.0,88.0,,130.0,,161.0,522.0,,,13.0,,,,,,,,,163.0,3021.0,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7750451.0,,,,,,,,,,,0.0,9.308,0.0,,,,,,,,,,,,,,,,,,,media/4a8ab289-5fc1-4319-bc3f-7c62d46e482c.jpg|media/0ee958e5-f7a0-43d1-b9cb-fe9aa0ad0488.mp4
14133809314,"Apr 10, 2025, 6:10:44 AM",Morning Trail Run 🌥,Run,"Wind 4ms NE


Propelled by Windfield.app↗",2490,5.22,149.0,11.0,False,,New Balance Rebel v4 [2025],activities/15085776411.fit.gz,,,2490.0,2397.0,5221.1,3.44,2.178,117.0,115.0,60.2,94.4,42.2,0.0,,,98.0,70.0,149.0,128.0,,274.0,458.0,,,11.0,658944.0,,,,,,,,295.0,2491.0,0.0,,0.0,,1.0,5690.6,,,,,,,,,,,,,,,,21346284.0,,,,,,,,,,0.0,2.097,3650.6,,,,5492.0,,,99.0,120.0,2.374,,,,,,,,,,media/85A16465-A2BC-4C62-ADD2-B790C2D4DB62.jpg|media/54E3AAD8-C7C3-402D-A110-1609AE64A0B1.jpg|media/0ACAFCB9-89AE-44B6-A9DF-942FC49D5FF2.jpg|media/C187A1C5-FB65-48EA-8D96-6499064A9657.mp4|media/EDBAD6F6-74FF-4DA0-8F9B-410D1809316A.jpg
18062452936,"Apr 10, 2026, 06:32:26 PM",Evening Walk,Walk,,2470,3.82,100.0,4.0,,,,,,,2470.0,2448.0,3824.6,2.72,1.562,29.0,3.4,3.4,31.0,,,,,,55.1,100.0,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6911084,"Apr 11, 2012, 4:07:23 PM","04/11/2012 Espoo, Finland, Uusimaa, Finland",Run,,2404,6.84,155.0,61.0,,,,activities/8116326.tcx.gz,82.0,,2404.0,2404.0,6844.3,4.13,,150.6,149.7,4.9,58.1,48.9,0.0,,,,,155.0,143.0,,,783.0,,,61.0,,,,,,,,,,,,,0.0,,,7774.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129118653,"Apr 11, 2014, 12:07:49 PM","11/04/2014 Veikkola-Masala, Espoo, Finland",Ride,,9470,65.14,159.0,91.0,False,,Canyon Ultimate CF 8.0,activities/141321164.fit.gz,81.0,8.0,9470.0,9304.0,65145.5,13.3,,636.0,633.8,8.4,79.6,17.9,0.0,,,150.0,77.0,159.0,136.0,,136.0,1408.0,,2.0,91.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,142498.0,105607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283235066,"Apr 11, 2015, 1:13:38 PM","11/04/2015 Espoo, Uusimaa, Finland",Run,,3504,8.64,157.0,91.0,False,,Inov-8 X-Talon 212 (2013),activities/320042188.fit.gz,81.0,,3504.0,3491.0,8646.3,5.5,,165.0,161.8,43.0,93.2,48.1,0.0,,,123.0,77.0,157.0,143.0,,,910.0,,19.0,91.0,,,,,,,,,,,,,0.0,,,9145.5,,,,,,,,,,,,,,,,222655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937729776,"Apr 11, 2017, 2:42:45 PM",Afternoon Run,Run,,4434,13.18,152.0,27.0,False,,Saucony TypeA6 (2017),activities/1037987750.fit.gz,81.0,,4434.0,4410.0,13183.9,7.8,,74.0,75.2,-2.8,20.4,23.6,0.0,,,88.0,82.0,152.0,135.0,,,1327.0,,12.0,27.0,,,,,,,,,,,,,0.0,,,13338.4,,,,,,,,,,,,,,,,2090324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502150397,"Apr 11, 2018, 10:47:12 AM",Morning Run,Run,,5824,13.60,146.0,67.0,False,,Saucony Type A6 (2018),activities/1617754189.fit.gz,82.5,,5824.0,5540.0,13601.1,4.3,,87.0,,-23.0,8.6,38.5,0.0,,,128.0,81.0,146.0,132.0,,,1410.0,,15.0,67.0,,,,,,,,,,,,,0.0,,,13911.9,,,,,,,,,,,,,,,,3006002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/16B12892-2388-4C9D-A009-186395893431.jpg|media/F80A6BA7-35FB-42E9-8EEB-62F7D9A0418B.jpg|media/2B4B1AF6-6B39-4DC6-A25C-0120AA48F338.jpg|media/376E6F0A-47B1-4FD2-9419-6B7934ECF619.jpg|media/420D6E86-4257-40B0-B599-EC8C13EA23A8.jpg|media/E92281BC-339C-4E64-BA82-AA0E6E9F41A8.jpg|media/64BEFF28-70EC-4CF3-B624-16A0E9AA6DC5.jpg|media/C4457F44-10DA-4B17-8D15-E0DE887A34C7.jpg|media/EC229DA1-12DD-43D1-A86E-A48A94FA0A14.jpg|media/52774770-A095-4318-B700-8B3019683123.jpg
2284550136,"Apr 11, 2019, 10:46:09 AM",Afternoon Activity,Weight Training,,2707,0,128.0,7.0,False,,,activities/2431635508.fit.gz,,,2707.0,2707.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,128.0,102.0,,,306.0,,25.0,7.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3283019804,"Apr 11, 2020, 6:30:36 AM",Mustakorpi ☀️,Run,"Clear, 3°C, Feels like 0°C, Humidity 69%, Wind 4m/s from W",8170,16.01,142.0,41.0,False,,Inov-8 X-Talon 212 (2013),activities/3509527341.fit.gz,81.0,,8170.0,8046.0,16009.4,3.4,1.99,290.0,281.0,65.4,111.6,49.1,0.0,,,116.0,73.0,142.0,127.0,,,1252.0,,13.0,41.0,,,,,,,,,,,0.0,,0.0,,1.0,17245.7,1586584832.0,1.0,2.8,-1.0,-2.1,0.7,1020.8,4.2,8.7,286.0,0.0,1586574976.0,1586626304.0,0.64,,222655.0,0.0,,0.0,16093.0,1.0,290.2,,,,,,,,,,,,,,,,,,,,,,,,,media/514E958F-AFC3-40FD-A2D8-8334D3B2E1F5.jpg|media/A49EC168-923B-49F6-82B7-AB49D863F5F8.jpg|media/A6CADCE9-9B41-4BB9-927F-A801637B0D77.jpg|media/1C52BBD8-5B14-4CB0-A24E-B740A86D4F95.jpg|media/EECF7544-C9D8-4717-B10F-EDBF4EC55200.jpg|media/6BC82E56-2BF0-4C81-88C0-C9DA68BE5793.jpg|media/4D12EFBA-8B8D-4239-9307-CB1B819610E0.jpg|media/A4882AB1-1613-4EF1-93DD-A9F2F6B308B5.jpg|media/09E16687-65F2-46FA-B8BB-3CE0AE1FB58C.jpg
5108106868,"Apr 11, 2021, 11:33:42 AM",Afternoon Ride ⛅,Ride,"Partly Cloudy, 8°C, Feels like 6°C, Humidity 53%, Wind 3m/s from SSW",4188,23.37,149.0,21.0,False,,3T Exploro Team EKAR,activities/5445355808.fit.gz,,8.0,4188.0,4014.0,23369.7,16.0,5.822,297.0,358.0,-2.2,78.2,50.0,-0.3,,,103.0,78.0,,118.0,,134.0,542.0,,10.0,21.0,544853.0,,,,,,,,164.0,4189.0,0.0,,0.0,,1.0,,1618138752.0,2.0,7.4,5.3,-0.8,0.56,1022.9,3.0,5.4,207.0,0.0,1618110976.0,1618162304.0,0.99,8798499.0,,0.06,5.0,0.39,16093.0,2.0,401.8,,,,,,,,,,,,,,,,,,,,,,,,,
10577378876,"Apr 11, 2021, 3:57:33 PM",Evening Walk ☁,Walk,"Wind 8ms SE


Propelled by Windfield.app ↗",4092,5.53,129.0,8.0,False,,HOKA Carbon X (2020),activities/11316725992.fit.gz,,,4092.0,3674.0,5534.3,2.29,1.506,55.0,58.0,-53.8,-17.0,33.8,0.0,,,70.0,61.0,,94.0,,,393.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,5441383.0,,,,,,,,,,0.0,1.352,1939.5,,,,7072.0,,,,,,,,,,,,,,,
5106239038,"Apr 11, 2021, 7:39:12 AM",Morning Ride ☀️,Ride,"Clear, 4°C, Feels like 1°C, Humidity 72%, Wind 4m/s from SSW",3596,20.82,145.0,20.0,False,,3T Exploro Team EKAR,activities/5443407123.fit.gz,,8.0,3596.0,3560.0,20823.9,14.8,5.849,350.0,299.0,21.4,85.4,20.8,0.2,,,107.0,82.0,,121.0,,156.0,556.0,,8.0,20.0,559625.0,,,,,,,,181.0,3597.0,0.0,,0.0,,1.0,,1618124416.0,1.0,3.8,0.6,-0.3,0.75,1020.7,3.8,6.8,210.0,0.0,1618110976.0,1618162176.0,0.99,8798499.0,,0.0,,0.16,16093.0,1.0,419.6,,,,,,,,,,,,,,,,,,,,,,,,,
14147934384,"Apr 11, 2025, 4:18:03 PM",Evening Weight Training,Weight Training,,3731,0,118.0,5.0,False,,,activities/15100533352.fit.gz,,,3731.0,3731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,118.0,80.0,,,243.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,540.0,,,,,,,,
18068572988,"Apr 11, 2026, 04:47:50 PM",Afternoon Walk,Walk,,3939,3.73,130.0,7.0,,,,,,,3939.0,3285.0,3727.2,2.26,1.135,82.0,66.4,66.4,116.6,,,,,,51.7,130.0,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18062452670,"Apr 11, 2026, 10:19:35 AM",Morning Weight Training,Weight Training,,3753,0.0,126.0,6.0,,,,,,,3753.0,3753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,126.0,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18064341387,"Apr 11, 2026, 12:28:39 PM",Lunch Mountain Bike Ride,Ride,,5157,28.84,148.0,23.0,,,,,,,5157.0,5106.0,28839.7,15.68,5.648,457.0,3.4,3.4,86.0,,,,,,,148.0,124.2,,208.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
